Date,Open,High,Low,Close,Adj Close,Volume,New Price
4/6/2021,3.6,3.6,3.6,3.6,3.01189,0,1
7/6/2021,4.29,4.29,4,4,3.346545,900,0
8/6/2021,4,4,4,4,3.346545,0,1
9/6/2021,4.05,4.49,4.05,4.49,3.756496,33800,0
10/6/2021,4.49,4.49,4.49,4.49,3.756496,100,0
11/6/2021,4.05,4.15,4.05,4.15,3.47204,400,1
14/6/2021,4.19,4.19,4.19,4.19,3.505506,500,0
15/6/2021,4.19,4.19,4.19,4.19,3.505506,0,0
16/6/2021,4.19,4.19,4.19,4.19,3.505506,0,0
17/6/2021,4.19,4.19,4.19,4.19,3.505506,0,0
18/6/2021,4.19,4.19,4.19,4.19,3.505506,0,0
21/6/2021,4.19,4.19,4.19,4.19,3.505506,0,1
22/6/2021,4.27,4.27,4.27,4.27,3.572437,1200,1
23/6/2021,4.33,4.68,4.33,4.68,3.915457,1200,0
24/6/2021,4.46,4.65,4.46,4.65,3.890358,800,0
25/6/2021,4.65,4.65,4.65,4.65,3.890358,0,0
28/6/2021,4.29,4.47,4.29,4.47,3.739763,1200,0
29/6/2021,3.7,4.28,3.7,4.28,3.580803,9600,1
30/6/2021,4.65,4.65,4.46,4.46,3.731397,500,0
1/7/2021,4.11,4.45,4.11,4.45,3.723031,1600,0
2/7/2021,4.4,4.4,4.4,4.4,3.681199,1000,0
6/7/2021,4.4,4.4,4.4,4.4,3.681199,0,0
7/7/2021,4.5,4.5,4.11,4.11,3.438575,400,0
8/7/2021,4.11,4.2,4.03,4.03,3.371644,12000,1
9/7/2021,4.01,4.35,4.01,4.35,3.639368,500,1
12/7/2021,4.69,4.69,4.69,4.69,3.923824,400,0
13/7/2021,4.69,4.69,4.69,4.69,3.923824,0,0
14/7/2021,4.01,4.01,3.8,3.95,3.304713,1000,1
15/7/2021,4.56,4.56,4.56,4.56,3.815061,200,1
16/7/2021,4.65,4.65,4.6,4.6,3.848526,500,0
19/7/2021,3.82,4,3.82,4,3.346545,1900,0
20/7/2021,4.01,4.01,3.91,4,3.346545,800,1
21/7/2021,3.99,4.01,3.99,4.01,3.354911,400,0
22/7/2021,3.77,4,3.76,4,3.346545,356700,0
23/7/2021,4,4,4,4,3.346545,32700,1
26/7/2021,4.22,4.69,4.22,4.69,3.923824,1100,0
27/7/2021,4.69,4.69,4.69,4.69,3.923824,300,0
28/7/2021,4.24,4.25,4.05,4.05,3.388376,8500,1
29/7/2021,4.45,4.65,4.45,4.65,3.890358,700,0
30/7/2021,4.75,4.75,4,4,3.346545,14300,1
2/8/2021,4.49,4.69,4.01,4.01,3.354911,4500,1
3/8/2021,4.67,4.67,4.04,4.67,3.907091,1600,0
4/8/2021,4.6,4.67,3.92,4.5,3.764863,2900,0
5/8/2021,4.3,4.5,3.91,4.34,3.631001,900,0
6/8/2021,4.3,4.3,4.1,4.1,3.430208,700,0
9/8/2021,4.07,4.07,4.01,4.01,3.354911,1300,1
10/8/2021,4.03,4.03,4.03,4.03,3.371644,700,0
11/8/2021,3.81,4,3.76,4,3.346545,8700,0
